fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.33429,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.35889,0.00984,0.01006,0.93946,0.00051,2.9085,0.79773,7.55798,0.5,1.48816,0.01484,0.71121,0.42321,0.0,0.1,0.48901,0.0,0.0,0.0,0.47609,0.98873,0.0,0.0
0.35588,0.0078,0.00896,0.94109,0.00051,3.28927,0.68545,8.03494,0.5,1.48816,0.01557,0.77896,0.42809,0.0,0.09788,0.45803,0.0,0.0,0.0,0.47602,1.0,0.0,0.0
0.37676,0.0078,0.00876,0.94109,0.00049,3.28927,0.57913,7.29734,0.54098,1.44221,0.01678,0.57164,0.41099,0.0,0.09763,0.41711,0.0,0.0,0.0,0.32687,0.89104,0.0,0.0
0.24592,0.01029,0.01061,0.95928,0.00053,2.85224,0.75619,7.55901,0.51174,1.48816,0.01465,0.74072,0.41595,0.0,0.1,0.46679,0.0,0.0,0.0,0.46989,0.98873,0.0,0.0
0.36033,0.00746,0.0095,0.9262,0.00051,2.91496,0.53504,7.1222,0.54098,1.41202,0.01646,0.57164,0.41099,0.0,0.09763,0.43167,0.0,0.0,0.0,0.34812,0.92028,0.0,0.0
0.37405,0.00829,0.00831,0.9499,0.0005,3.39698,0.55942,7.1475,0.5508,1.53088,0.01671,0.53767,0.38834,0.0,0.0944,0.41549,0.0,0.0,0.0,0.35027,0.81316,0.0,0.0
0.35664,0.0078,0.00886,0.93888,0.00049,3.28823,0.59775,7.29734,0.54258,1.4951,0.01648,0.57291,0.41566,0.0,0.09977,0.41711,0.0,0.0,0.0,0.32638,0.90536,0.0,0.0
0.37774,0.00817,0.01102,0.94943,0.00048,3.20605,0.63709,6.87616,0.59677,1.41202,0.01216,0.57164,0.50646,0.0,0.11722,0.45972,0.0,0.0,0.0,0.29928,0.92028,0.0,0.0
0.35572,0.00872,0.00829,0.9499,0.0005,3.39698,0.59562,7.27224,0.55758,1.53198,0.01675,0.55764,0.38834,0.0,0.09479,0.4288,0.0,0.0,0.0,0.36006,0.81316,0.0,0.0
0.3756,0.00855,0.00754,0.96636,0.00055,3.56465,0.48158,7.29734,0.56507,1.15029,0.01678,0.4705,0.34798,0.0,0.11815,0.39373,0.0,0.0,0.0,0.32687,0.89104,0.0,0.0
0.36821,0.00727,0.01154,0.95233,0.00053,3.28673,0.68595,6.87616,0.58283,1.5098,0.01186,0.57164,0.41084,0.0,0.11935,0.416,0.0,0.0,0.0,0.31034,0.82543,0.0,0.0
0.33169,0.00801,0.00831,0.9499,0.00028,3.39698,0.62976,4.64964,0.60247,1.55741,0.01671,0.44876,0.22671,0.0,0.11429,0.41549,0.0,0.0,0.0,0.40826,0.45986,0.0,0.0
0.29569,0.00843,0.00961,0.98,0.00058,3.23082,0.55942,7.1475,0.56595,1.28986,0.01671,0.5117,0.3486,0.0,0.08893,0.32683,0.0,0.0,0.0,0.40569,0.97228,0.0,0.0
0.37113,0.00815,0.01107,0.94943,0.00048,3.21372,0.63709,6.87616,0.59162,1.41004,0.01212,0.57128,0.5088,0.0,0.11624,0.45804,0.0,0.0,0.0,0.29928,0.92903,0.0,0.0
0.32948,0.0078,0.00876,0.95102,0.00046,3.46905,0.62263,6.98031,0.53133,1.97417,0.01159,0.71114,0.41377,0.0,0.09763,0.44391,0.0,0.0,0.0,0.22979,0.73139,0.0,0.0
0.34862,0.00693,0.00876,0.97117,0.00049,3.14882,0.54752,6.24613,0.56109,1.55119,0.01566,0.57509,0.41099,0.0,0.09532,0.37054,0.0,0.0,0.0,0.33182,0.75714,0.0,0.0
0.34696,0.00667,0.00836,0.93536,0.0005,3.49147,0.55901,7.1475,0.51522,2.01525,0.01671,0.60993,0.33162,0.0,0.11899,0.44848,0.0,0.0,0.0,0.35505,0.81316,0.0,0.0
0.22321,0.00752,0.00811,0.94583,0.00046,2.282,0.77646,7.29734,0.54098,1.44221,0.01492,0.54669,0.41241,0.0,0.09823,0.41711,0.0,0.0,0.0,0.3385,1.0,0.0,0.0
